resource,hour,gen_sum
_solar_photovoltaic,2409,1671.6000000000001
_solar_photovoltaic_btm,2409,286.56
biomass,2409,21.4
hydroelectric_pumped_storage,2409,42.0
natural_gas_fired_combined_cycle,2409,1928.5
natural_gas_fired_combustion_turbine,2409,-996.0410920000002
_onshore_wind_turbine,2410,131.56096
_small_hydroelectric,2410,3.184932
_solar_photovoltaic,2410,2014.95
_solar_photovoltaic_btm,2410,345.42
biomass,2410,21.4
hydroelectric_pumped_storage,2410,42.0
natural_gas_fired_combined_cycle,2410,1928.5
natural_gas_fired_combustion_turbine,2410,-1118.595892
_onshore_wind_turbine,2411,111.1936
_small_hydroelectric,2411,3.184932
_solar_photovoltaic,2411,2113.65
_solar_photovoltaic_btm,2411,362.34
biomass,2411,21.4
hydroelectric_pumped_storage,2411,42.0
natural_gas_fired_combined_cycle,2411,1928.5
natural_gas_fired_combustion_turbine,2411,-1094.9285320000001
_onshore_wind_turbine,2412,92.11008
_small_hydroelectric,2412,3.184932
_solar_photovoltaic,2412,2148.65
_solar_photovoltaic_btm,2412,368.34
biomass,2412,21.4
hydroelectric_pumped_storage,2412,42.0
natural_gas_fired_combined_cycle,2412,1928.5
natural_gas_fired_combustion_turbine,2412,-1272.845012
_onshore_wind_turbine,2413,52.09344
_small_hydroelectric,2413,3.184932
_solar_photovoltaic,2413,2256.1
_solar_photovoltaic_btm,2413,386.76
biomass,2413,21.4
hydroelectric_pumped_storage,2413,42.0
natural_gas_fired_combined_cycle,2413,1928.5
natural_gas_fired_combustion_turbine,2413,-1560.278372
_onshore_wind_turbine,2414,64.69248
_small_hydroelectric,2414,3.184932
_solar_photovoltaic,2414,2259.25
_solar_photovoltaic_btm,2414,387.29999999999995
biomass,2414,21.4
hydroelectric_pumped_storage,2414,42.0
natural_gas_fired_combined_cycle,2414,1928.5
natural_gas_fired_combustion_turbine,2414,-1653.027412
_onshore_wind_turbine,2415,49.22112
_small_hydroelectric,2415,3.184932
_solar_photovoltaic,2415,2184.35
_solar_photovoltaic_btm,2415,374.46
biomass,2415,21.4
hydroelectric_pumped_storage,2415,42.0
natural_gas_fired_combined_cycle,2415,1928.5
natural_gas_fired_combustion_turbine,2415,-1650.6560519999998
_onshore_wind_turbine,2416,65.41055999999999
_small_hydroelectric,2416,3.184932
_solar_photovoltaic,2416,1993.25
_solar_photovoltaic_btm,2416,341.7
biomass,2416,21.4
hydroelectric_pumped_storage,2416,42.0
natural_gas_fired_combined_cycle,2416,1928.5
natural_gas_fired_combustion_turbine,2416,-1571.745492
_onshore_wind_turbine,2417,57.18527999999999
_small_hydroelectric,2417,3.184932
_solar_photovoltaic,2417,1637.3
_solar_photovoltaic_btm,2417,280.68
biomass,2417,21.4
hydroelectric_pumped_storage,2417,42.0
natural_gas_fired_combined_cycle,2417,1928.5
natural_gas_fired_combustion_turbine,2417,-1267.5702119999996
_onshore_wind_turbine,2418,78.61888
_small_hydroelectric,2418,3.184932
_solar_photovoltaic,2418,1132.6
_solar_photovoltaic_btm,2418,194.16
biomass,2418,21.4
hydroelectric_pumped_storage,2418,42.0
natural_gas_fired_combined_cycle,2418,1928.5
natural_gas_fired_combustion_turbine,2418,-832.303812
_onshore_wind_turbine,2419,52.61568
_small_hydroelectric,2419,3.184932
_solar_photovoltaic,2419,166.95
_solar_photovoltaic_btm,2419,28.62
biomass,2419,21.4
hydroelectric_pumped_storage,2419,42.0
natural_gas_fired_combined_cycle,2419,1928.5
natural_gas_fired_combustion_turbine,2419,163.34938800000018
_onshore_wind_turbine,2420,61.42848
_small_hydroelectric,2420,3.184932
_solar_photovoltaic,2420,0.0
_solar_photovoltaic_btm,2420,0.0
biomass,2420,21.4
hydroelectric_pumped_storage,2420,42.0
natural_gas_fired_combined_cycle,2420,1928.5
natural_gas_fired_combustion_turbine,2420,444.48658799999976
_onshore_wind_turbine,2421,71.9168
_small_hydroelectric,2421,3.184932
_solar_photovoltaic,2421,0.0
_solar_photovoltaic_btm,2421,0.0
biomass,2421,21.4
hydroelectric_pumped_storage,2421,42.0
natural_gas_fired_combined_cycle,2421,1928.5
natural_gas_fired_combustion_turbine,2421,438.9982679999998
_onshore_wind_turbine,2422,96.04864
_small_hydroelectric,2422,3.184932
_solar_photovoltaic,2422,0.0
_solar_photovoltaic_btm,2422,0.0
biomass,2422,21.4
hydroelectric_pumped_storage,2422,42.0
natural_gas_fired_combined_cycle,2422,1928.5
natural_gas_fired_combustion_turbine,2422,166.8664279999999
_onshore_wind_turbine,2423,126.46911999999986
_small_hydroelectric,2423,3.184932
_solar_photovoltaic,2423,0.0
_solar_photovoltaic_btm,2423,0.0
biomass,2423,21.40000000000009
hydroelectric_pumped_storage,2423,42.0
natural_gas_fired_combined_cycle,2423,1794.945948
natural_gas_fired_combustion_turbine,2423,0.0
_onshore_wind_turbine,2424,144.42111999999986
_small_hydroelectric,2424,3.184932
_solar_photovoltaic,2424,0.0
_solar_photovoltaic_btm,2424,0.0
biomass,2424,21.40000000000009
hydroelectric_pumped_storage,2424,42.0
natural_gas_fired_combined_cycle,2424,1548.993948
natural_gas_fired_combustion_turbine,2424,0.0
