Segment,Zone,NSE_Price,Max_NSE_MW,Total_NSE_MWh,NSE_Percent_of_Demand
1.0,1.0,9000.0,0.0,0.0,0.0
1.0,2.0,9000.0,0.0,0.0,0.0
1.0,3.0,9000.0,0.0,0.0,0.0
2.0,1.0,603.0,0.0,0.0,0.0
2.0,2.0,603.0,6604.275,47402.93327365318,0.010396712547463386
2.0,3.0,603.0,412.275,3094.2539354551313,0.0006786514355571459
